30000
S,27986
SL,26144
SLR,881
SLRR,826
SLRRS,55
SLRRSS,10
SLRRSSL,10
SLRRSSLL,10
SLRRSSLLS,10
SLRRSSLLSS,10
SLRRSSLLSSS,10
SLRRSSLLSSSR,10
SLRRSR,6
SLRRSRL,3
SLRRSRLL,2
SLRRSRLLR,2
SLRRSRLLRS,2
SLRRSRLLRSS,2
SLRRSRLLRSSL,2
SLRRSL,39
SLRRSLL,39
SLRRSLLR,29
SLRRSLLRL,27
SLRRSLLRLS,27
SLRRSLLRLSL,26
SLRRSLLRLSLL,25
SLRRSRS,3
SLRRSRSL,3
SLRRSRSLS,3
SLRRSRSLSS,3
SLRRSRSLSSS,3
SLRRSRSLSSSR,2
L,1040
LR,968
LRR,896
LRRS,844
LRRSS,44
LRRSSL,17
LRRSSLS,14
LRRSSLSS,8
LRRSSLSSR,5
LRRSSLSSRS,5
LRRSSLSSRSR,5
LRRSSLSSRSRS,5
SLRRSRLR,1
SLRRSRLRL,1
SLRRSRLRLR,1
SLRRSRLRLRS,1
SLRRSRLRLRSS,1
SLRRL,771
SLRRLR,27
SLRRLRL,25
SLRRLRLR,7
SLRRLRLRS,7
SLRRLRLRSL,3
SLRRLRLRSLR,3
SLRRLRLRSLRS,1
SLRRLRLL,17
SLRRLRLLR,17
SLRRLRLLRR,13
SLRRLRLLRRL,13
SLRRLRLLRRLL,13
SLRRLL,715
SLRRLLS,681
SLRRLLSL,636
SLRRLLSLR,43
SLRRLLSLRS,22
SLRRLLSLRSS,19
SLRRLLSLRSSR,10
SLL,24430
SLLR,1534
SLLRS,1212
SLLRSR,52
SLLRSRL,34
SLLRSRLS,34
SLLRSRLSL,23
SLLRSRLSLS,23
SLLRSRLSLSR,15
SLLRSRLSLSRL,11
SLS,833
SLSL,776
SLSLR,191
SLSLRS,187
SLSLRSS,171
SLSLRSSL,164
SLSLRSSLL,156
SLSLRSSLLS,148
SLSLRSSLLSS,18
SLSLRSSLLSSR,18
SLLRSRLSLSS,3
SLLRSRLSLSSR,3
SLLRSRLSLSRR,4
SLLRSRLSLSL,5
SLLRSRLSLSLR,5
SLLRSS,1124
SLLRSSL,132
SLLRSSLR,123
SLLRSSLRR,113
SLLRSSLRRS,28
SLLRSSLRRSS,28
SLLRSSLRRSSS,14
SLLRSSLL,7
SLLRSSLLR,2
SLLRSSLLRL,2
SLLRSSLLRLS,2
SLLRSSLLRLSL,2
SS,926
SSR,872
SSRL,815
SSRLS,171
SSRLSL,12
SSRLSLS,7
SSRLSLSR,7
SSRLSLSRL,7
SSRLSLSRLR,7
SSRLSLSRLRR,7
SSRLSLSRLRRS,7
SLLRSRLSS,11
SLLRSRLSSS,11
SLLRSRLSSSS,9
SLLRSRLSSSSL,9
SLLRSSLLS,5
SLLRSSLLSR,5
SLLRSSLLSRL,1
SLLRSSLLSRLR,1
R,959
RL,893
RLS,32
RLSS,16
RLSSR,16
RLSSRS,15
RLSSRSL,9
RLSSRSLL,8
RLSSRSLLR,5
RLSSRSLLRR,4
RLSSRSLLRRS,4
RLSSRSLLRRSL,4
SLSLS,31
SLSLSR,31
SLSLSRR,28
SLSLSRRS,27
SLSLSRRSL,11
SLSLSRRSLS,11
SLSLSRRSLSR,1
SLSLSRRSLSRL,1
SLLRSSLRRSSR,14
SLLRSSLRL,3
SLLRSSLRLL,3
SLLRSSLRLLS,2
SLLRSSLRLLSL,2
SLLS,22896
SLLSS,21753
SLLSSR,766
SLLSSRL,714
SLLSSRLR,665
SLLSSRLRR,624
SLLSSRLRRS,34
SLLSSRLRRSS,9
SLLSSRLRRSSL,9
SLLRSSLRS,7
SLLRSSLRSS,5
SLLRSSLRSSR,5
SLLRSSLRSSRS,5
SLLRSSR,956
SLLRSSRR,890
SLLRSSRRS,846
SLLRSSRRSL,846
SLLRSSRRSLR,291
SLLRSSRRSLRL,145
LRRL,52
LRRLL,44
LRRLLS,41
LRRLLSL,40
LRRLLSLS,37
LRRLLSLSS,34
LRRLLSLSSL,31
LRRLLSLSSLR,31
LRRLLSLSSLRR,29
SLLRSL,36
SLLRSLS,32
SLLRSLSR,21
SLLRSLSRL,20
SLLRSLSRLS,19
SLLRSLSRLSL,19
SLLRSLSRLSLL,18
SLLRSSLS,2
SLLRSSLSR,2
SLLRSSLSRS,2
SLLRSSLSRSS,2
SLLRSSLSRSSS,2
RLL,833
RLLS,791
RLLSR,736
RLLSRR,685
RLLSRRL,660
RLLSRRLR,611
RLLSRRLRL,31
RLLSRRLRLL,31
RLLSRRLRLLR,30
RLLSRRLRLLRS,2
SLLRSSLRRL,85
SLLRSSLRRLS,6
SLLRSSLRRLSL,6
SR,916
SRS,43
SRSS,42
SRSSR,42
SRSSRS,11
SRSSRSL,8
SRSSRSLL,8
SRSSRSLLR,8
SRSSRSLLRS,8
SRSSRSLLRSS,6
SRSSRSLLRSSS,6
SLLRSSLRRLR,79
SLLRSSLRRLRR,72
SLLRR,60
SLLRRS,24
SLLRRSS,24
SLLRRSSL,18
SLLRRSSLR,12
SLLRRSSLRS,7
SLLRRSSLRSS,6
SLLRRSSLRSSR,6
SSRLSS,8
SSRLSSS,8
SSRLSSSR,6
SSRLSSSRS,6
SSRLSSSRSR,6
SSRLSSSRSRS,6
SSRLSSSRSRSS,6
SLRRSRSLSSSS,1
SLLRSSLLSRR,4
SLLRSSLLSRRL,4
SLLRSSLRRLRS,4
SLLRL,262
SLLRLS,129
SLLRLSS,123
SLLRLSSS,14
SLLRLSSSR,14
SLLRLSSSRL,14
SLLRLSSSRLS,10
SLLRLSSSRLSR,10
SLSLRSSLLSR,130
SLSLRSSLLSRS,11
SLLSSRLRRL,590
SLLSSRLRRLR,549
SLLSSRLRRLRR,515
SLLRSSS,36
SLLRSSSL,10
SLLRSSSLS,10
SLLRSSSLSS,2
SLLRSSSLSSL,2
SLLRSSSLSSLS,2
SLLRSLSS,7
SLLRSLSSR,7
SLLRSLSSRR,7
SLLRSLSSRRL,7
SLLRSLSSRRLS,4
RLSSRSLLS,3
RLSSRSLLSR,3
RLSSRSLLSRR,3
RLSSRSLLSRRS,3
SLLRSSSLSR,8
SLLRSSSLSRL,8
SLLRSSSLSRLR,8
SLRL,24
SLRLL,22
SLRLLR,21
SLRLLRL,21
SLRLLRLS,11
SLRLLRLSR,11
SLRLLRLSRR,11
SLRLLRLSRRL,11
SLRLLRLSRRLL,10
SLLRRSSLRR,5
SLLRRSSLRRL,2
SLLRRSSLRRLL,2
SLLRSSSR,19
SLLRSSSRL,18
SLLRSSSRLR,18
SLLRSSSRLRL,17
SLLRSSSRLRLL,16
SLSLSRRSLSS,6
SLSLSRRSLSSL,6
SLLRSSLRLLR,1
SLLRSSLRLLRL,1
SLLSSRLL,25
SLLSSRLLR,23
SLLSSRLLRR,23
SLLSSRLLRRS,19
